Trade_Volume_Millions,Execution_Slippage_Bps
42.6239,850.8086
27.6402,159.1368
28.0908,196.3498
43.845,955.3195
20.2338,59.7484
6.7874,8.5211
1.5363,14.4015
37.7813,528.1605
31.0534,290.3863
35.2336,457.6652
10.7269,20.195
6.9049,24.945
0.8258,9.0997
17.5943,31.4729
29.5369,254.9849
19.673,63.3583
21.93,51.8932
45.2175,1059.9066
17.4779,36.8717
25.7481,147.7375
39.2043,620.1866
19.8875,52.7915
31.1421,257.6123
43.1319,897.8243
47.4811,1266.9667
7.439,19.7402
46.3367,1142.2272
24.6566,122.5889
12.9864,36.4446
23.0109,80.9034
49.0036,1363.0862
24.6816,103.1094
16.5047,19.7968
31.7067,276.267
12.0833,35.0163
3.8856,6.6521
6.5311,17.3257
6.4895,23.019
7.6799,20.0492
7.0275,25.0689
32.0796,297.066
9.1758,17.4932
17.3488,38.1363
44.8497,1038.8712
23.7507,147.2718
33.4111,356.6946
8.6988,19.0859
9.6952,14.1457
2.1393,17.6864
8.5299,17.8723
14.0017,22.7051
8.9328,19.4549
4.5263,25.8347
6.1197,15.0557
23.0929,96.7575
10.3961,1.7857
18.2771,60.3685
25.2205,126.4391
34.5507,421.2687
2.0617,12.9135
39.9906,685.0784
31.4322,277.8401
4.1798,15.9465
43.6916,900.7782
46.0515,1131.0057
3.1478,15.9389
13.9162,29.4672
40.3294,703.1391
37.4382,524.6972
9.3076,20.1202
10.5465,13.5046
18.5866,43.9144
24.2777,146.1327
30.9509,272.4084
18.5088,56.0178
23.1805,97.9654
37.3988,537.2543
1.9305,10.4659
12.6966,23.5633
35.6961,465.4335
44.7708,1000.267
25.6327,115.0185
26.6525,161.9508
5.4479,24.0346
22.4259,79.0101
26.6776,172.0821
12.1993,31.0148
13.5352,42.9083
18.9265,76.3479
1.1016,8.9878
16.1718,35.3543
10.6513,9.2418
16.4421,48.8969
6.0761,25.2388
44.5373,993.2537
29.7203,240.2762
33.9872,359.0377
39.4796,637.1657
24.9723,106.0474
4.4373,17.493
26.9016,157.4578
29.3834,246.7163
37.2974,535.7077
21.6398,83.6085
6.4663,18.9037
14.2604,45.6256
18.2178,65.6563
32.3313,313.6362
28.5818,208.5911
17.8692,62.6926
49.3271,1399.9411
30.3282,257.1426
11.9376,21.319
5.1789,25.4931
7.7277,23.6514
12.3733,9.2395
8.118,17.4043
9.4097,32.2558
14.3262,38.8828
8.7513,13.1793
44.8486,999.827
4.1037,15.875
26.2731,150.0642
20.5788,64.036
49.1207,1400.4781
5.6907,14.511
19.953,90.8468
48.4766,1337.8086
43.2888,887.6362
40.8719,748.5008
12.9694,25.4136
8.6273,14.0242
33.4653,354.0021
46.4759,1160.5619
27.8825,193.5206
28.6235,209.9112
14.071,18.8868
38.4977,608.1227
9.4335,28.3462
16.2516,25.0766
21.3293,64.634
25.4298,131.9484
12.1962,26.888
5.8304,19.6429
30.5699,258.1731
14.5027,15.681
29.1038,234.8033
7.8027,13.2296
24.1089,132.5177
26.6762,178.3125
2.686,7.3742
16.8966,44.2484
6.8073,27.8915
3.2624,16.4119
49.499,1402.9107
16.1855,36.3289
40.5127,733.1693
12.8066,41.8429
34.107,381.6969
38.0354,532.6525
29.8224,276.0818
23.6317,103.0607
20.6509,87.4083
17.5085,40.5787
46.4835,1177.2399
41.5479,764.7524
48.2548,1308.1973
6.3024,29.7899
36.5703,514.3323
46.9232,1201.2801
9.1435,28.2803
3.4182,10.8555
37.0819,519.7126
28.7662,209.9386
42.1073,800.9234
7.0746,13.6152
39.7838,625.6697
10.1612,14.3456
8.2664,33.5015
8.2969,7.7853
40.7473,727.8445
33.2933,355.3194
26.201,145.4725
18.0056,57.1711
43.8723,941.0033
19.683,71.461
40.8483,747.9893
22.0128,64.16
18.9095,67.459
23.1877,93.8712
15.1388,13.5624
37.4057,546.4151
25.1857,125.8093
11.6874,38.4718
44.9888,1064.0169
19.2562,44.2907
27.2233,186.8346
45.333,1046.5161
31.2495,249.4409
5.9332,14.5749
46.9976,1173.525
31.4226,285.6895
16.8118,61.7928
7.0497,19.9201
39.7219,675.728
31.0416,255.0612
26.7197,151.314
44.7052,1026.9914
39.451,647.5218
7.6686,15.0329
15.6549,45.3273
12.4996,26.7362
37.2229,571.2358
1.7733,11.9681
28.5375,182.7114
38.1467,577.8996
43.8506,916.1913
17.1699,64.9098
41.0807,726.8908
5.6205,24.3321
42.338,858.3214
6.4617,14.575
19.9246,65.5826
39.885,680.8817
7.5809,25.5375
11.5396,25.4018
36.1404,459.6414
36.0298,480.3006
32.0933,319.3302
34.728,391.3261
27.1819,131.9042
12.6648,31.2739
17.3502,47.0537
9.1617,24.4936
45.4317,1106.5133
29.2113,235.3494
20.1025,79.8098
23.1541,109.3926
47.3694,1246.5679
7.7522,11.5755
29.3529,251.015
25.3438,129.8519
30.6116,249.135
1.0037,8.7659
43.619,883.0487
46.6127,1154.8001
28.3001,185.5708
34.8629,402.6254
46.1327,1182.6123
35.3912,437.5597
7.7117,15.6156
28.8568,209.6739
30.3751,268.5881
21.2641,48.5502
36.8486,510.4579
46.7249,1172.2879
46.2859,1152.5255
22.5969,74.0591
5.7506,16.9653
49.2436,1420.2241
41.961,778.6104
6.3207,30.1632
46.05,1135.8222
43.5078,943.0251
25.99,139.6627
29.6046,234.5593
20.0102,46.4626
2.8326,9.7788
16.8263,29.5894
40.1624,698.7998
0.3311,9.0051
16.7416,49.6876
19.9686,85.2425
26.916,177.4068
46.0008,1131.7142
17.3827,32.0961
17.413,46.8402
36.9013,500.4576
22.6657,103.2697
11.3078,11.7614
22.6767,89.9393
7.1288,19.5943
8.9017,34.307
24.9686,110.6083
21.0044,87.5385
45.7508,1120.7458
18.1835,44.7482
29.0714,223.3582
31.65,288.7763
0.7534,5.5411
33.2105,363.9292
8.984,40.1306
48.0574,1333.3757
7.5183,21.5015
20.7897,88.6244
4.3589,8.5935
49.844,1474.3871
25.1595,130.8644
29.8097,217.9334
3.4471,11.5579
37.523,506.2218
10.5743,12.0139
44.9129,1023.6818
10.3365,14.6654
9.6153,24.9144
1.9238,10.9718
23.6561,110.5346
28.2856,187.3545
3.3789,19.0331
38.7988,622.652
22.7191,95.2737
26.2671,154.576
22.0941,81.1846
20.0981,80.0951
28.0261,209.0903
7.8465,17.5813
9.1782,22.4863
43.1031,880.446
47.3112,1303.0785
18.7281,48.4888
13.6102,39.5744
32.2356,364.774
20.4958,70.8359
1.3668,1.5348
7.892,30.6391
35.827,448.3784
32.9803,327.1151
1.4521,14.8971
11.1764,12.169
11.6306,36.6301
33.6274,360.8222
1.0836,0.2933
5.295,22.4183
40.0158,631.159
9.0094,20.7439
32.672,297.5481
11.9853,21.5858
5.0621,20.9476
12.2343,28.8096
36.1411,478.1344
42.7993,892.7065
41.528,779.7126
19.9195,58.4758
33.4374,363.4852
10.3287,16.9389
14.7281,40.0197
44.8272,1024.7742
0.7488,7.8874
4.3669,15.046
10.4735,26.6081
1.424,10.6324
9.1536,5.9124
29.1938,193.7429
21.1291,65.51
44.6443,1004.9676
40.8904,767.7378
17.1567,46.8654
13.0452,31.5205
19.0467,73.3462
29.5557,253.8343
13.4764,17.7041
31.245,303.1209
20.5296,68.3568
27.6472,172.0351
21.8627,77.2341
14.7938,24.792
47.4278,1251.8923
38.2039,576.6194
7.0916,27.536
43.4366,962.6608
24.4228,111.0653
44.7382,982.938
40.0128,698.1442
21.3182,87.9894
1.2212,8.7706
13.507,12.5917
27.1275,155.8283
31.7106,298.286
12.9686,20.5304
7.0539,12.8984
41.763,846.7716
49.2217,1394.177
26.3319,171.6352
8.6668,23.8236
13.6881,34.0397
1.0177,10.5844
45.7235,1079.3095
5.9758,16.4967
28.8682,219.0528
13.7754,9.9922
27.7535,211.0256
32.6059,328.9907
41.5041,755.7446
10.4004,31.3872
0.6487,5.3431
6.9306,14.6298
45.0109,1062.0149
43.7071,877.467
29.9109,246.9602
30.0658,267.5416
33.2853,335.6536
8.851,11.4347
45.7292,1108.5492
20.9966,62.5498
19.2186,83.7322
25.994,136.9226
2.4436,10.7035
8.3975,24.3257
36.9279,472.9243
4.2317,16.0257
30.1973,268.0326
12.3429,24.4051
19.5259,43.237
14.5058,25.9139
17.8481,22.8425
35.9804,460.0977
14.9264,43.3597
28.3636,187.2103
23.8549,118.6791
33.2172,320.3541
46.8478,1244.8947
36.6553,522.611
10.8255,18.7644
1.656,3.9351
13.187,21.9752
29.7944,241.1387
2.6661,16.8614
24.8687,92.1488
29.8825,260.2372
16.7788,42.5294
38.5685,572.5883
5.4193,3.0409
3.8494,15.6558
36.4366,492.5201
24.825,114.4693
34.4513,417.0567
21.7979,108.8292
12.3955,21.5699
40.9732,725.6471
39.9909,720.921
34.7654,407.3824
13.68,34.5187
29.5525,218.4867
18.1126,61.1203
4.6699,9.8431
45.8739,1113.6832
6.9272,21.2041
47.5168,1251.4926
22.3557,78.3252
9.3381,35.1264
27.1409,182.6477
43.66,910.2105
36.638,457.473
40.3474,737.6843
32.9733,322.1972
34.6446,407.9973
42.4749,847.1338
12.5584,28.2009
24.5223,93.0998
11.1384,20.3059
49.3846,1437.892
47.2086,1226.4677
2.0674,13.26
35.3082,438.9665
46.2699,1155.7212
9.1107,16.6524
28.4405,229.2559
45.7829,1094.6701
1.7939,10.7591
34.9013,420.0573
14.9377,36.5052
46.2274,1171.731
48.5558,1332.5764
47.2189,1250.8608
23.7633,117.8202
43.1159,895.3812
42.243,834.0789
16.0231,23.296
41.4629,767.3039
1.9467,2.408
29.8539,232.3016
11.5774,23.3488
6.1163,9.9787
3.94,16.648
34.8448,439.941
17.0598,43.565
36.2659,479.5536
3.3613,11.4576
15.833,39.2609
27.0206,149.8301
39.5571,600.4166
16.0057,53.3251
31.332,300.9139
44.3103,954.1774
30.8316,240.3951
11.7247,25.0675
1.3176,8.0014
43.5179,941.187
1.1613,5.9642
43.7476,967.0699
26.494,151.9231
46.9595,1237.4151
39.9593,675.3499
49.8969,1467.0487
17.6005,39.7402
38.3827,602.7481
20.1564,68.0519
24.0458,111.9836
31.4125,266.0877
43.6965,932.9668
49.2058,1402.1509
38.4368,576.1317
20.9466,84.5732
21.1257,62.6531
36.9054,493.1712
12.015,27.4137
5.6127,12.5287
17.7956,38.7541
14.4332,49.8137
14.8858,29.8583
11.757,30.1747
2.2005,21.1075
0.9919,7.1845
49.3873,1453.1371
21.4459,80.8262
19.2779,51.7469
34.0144,383.1803
10.9909,21.5905
47.5031,1230.7289
39.3386,661.3666
4.5616,6.7471
20.9373,71.17
43.968,948.2359
47.2421,1203.4345
23.4233,110.9788
30.7092,244.4751
8.435,17.6598
49.5593,1476.4288
11.6604,7.027
47.1423,1250.5229
32.5174,322.8598
30.4261,248.9638
25.6832,117.5771
11.6104,24.7495
8.9087,21.1869
11.1023,27.9239
9.4033,17.8183
39.0013,601.0065
17.5713,47.6814
2.9863,10.41
48.4582,1359.7193
44.2009,947.3869
46.3948,1175.8154
49.7459,1517.012
8.7774,19.6598
19.8725,78.3119
37.9361,580.5723
34.8314,421.5827
7.7794,19.9608
40.8101,719.9334
11.2996,33.8728
11.2685,32.0691
26.895,146.6969
29.6877,235.1225
29.0463,201.2456
4.6652,19.008
43.8853,967.5419
13.3534,12.1029
6.5628,18.4075
44.4485,1003.4271
47.787,1284.1195
43.1202,935.2406
40.4949,676.0864
32.7966,359.9937
27.5878,164.4918
4.4406,4.9065
20.4818,70.7412
18.6972,49.8683
13.0617,27.4515
36.1987,487.478
24.8442,132.7742
4.1442,12.865
11.0871,30.1666
34.1946,347.4634
3.8989,14.6113
42.5752,879.4595
24.8078,128.0743
24.0813,112.5026
29.6611,226.1888
41.2516,769.566
17.4557,40.0132
33.933,389.9012
28.33,188.1887
13.4247,42.2184
43.9436,966.9956
39.8916,717.0049
32.9567,332.0726
42.544,879.5305
43.378,879.269
35.4473,456.7431
41.867,799.8679
34.9038,420.2674
34.039,396.2585
30.9687,285.0706
37.6606,567.7421
8.0144,22.7177
44.0555,975.5263
43.605,922.0324
1.5594,6.2223
41.3083,769.0434
6.5306,5.4582
16.8224,44.61
37.2011,544.4995
8.1219,24.7196
40.9166,725.1829
41.6235,737.4377
25.4226,144.886
0.4187,1.4761
14.4232,16.9642
30.8847,286.176
49.0612,1368.2983
31.6275,289.4995
13.0642,43.5207
31.7369,283.8057
27.0453,149.5388
39.0143,635.1156
5.4383,19.4911
38.0753,534.9644
27.1092,169.4182
48.1533,1348.3966
17.1594,57.8352
31.6678,289.1704
46.6082,1186.8827
5.2152,20.3535
46.8677,1223.672
34.4255,395.6978
3.4851,20.3421
15.1181,24.7139
35.4378,457.5174
3.4608,9.4042
29.1503,186.822
17.3596,49.8992
31.0837,329.7763
2.3825,12.6879
43.5897,921.1933
48.6771,1401.3811
48.447,1332.7852
37.5076,503.0662
6.5913,24.8959
37.9373,598.24
1.3269,8.273
1.204,8.4559
16.2481,30.2579
24.4833,115.7443
38.5433,602.065
34.1964,388.9715
22.3505,87.7897
13.754,-2.8002
49.8565,1491.5909
21.3664,57.4904
22.6242,97.6077
8.2648,28.0039
39.761,680.3474
34.7147,386.3505
11.1164,16.1299
4.2108,15.3411
34.0569,399.4745
32.7601,351.6412
13.7357,31.7324
47.5481,1233.4678
7.6378,27.937
21.6735,78.7589
47.1864,1215.3458
21.0444,65.6039
31.9624,275.1795
19.94,75.7262
13.7833,27.06
49.2005,1400.5349
20.5258,74.9825
44.7156,1033.9599
11.5747,8.6758
10.7339,35.7699
1.6536,17.4917
32.6182,329.1666
18.4895,52.8644
43.2315,958.5534
23.7132,89.8587
48.4129,1327.3749
9.3577,25.8573
43.4443,943.8323
38.8522,615.3098
38.569,580.4109
42.2547,860.5027
38.0751,571.3085
31.3484,283.5422
6.6491,24.9001
1.7231,15.0474
46.0503,1131.2885
30.8709,277.071
39.8472,696.7103
24.128,109.076
5.9537,14.9879
6.3468,16.4359
34.3097,374.1783
21.5723,62.9621
10.1062,39.9936
24.6306,106.9684
3.304,15.0462
29.1404,216.5129
13.5228,37.8746
39.8982,678.4757
15.5871,49.1674
22.8155,91.4707
0.6799,5.9939
3.7151,18.3474
19.6854,61.7954
24.0489,119.1603
30.041,248.304
14.654,16.2374
34.7796,428.0996
43.0201,912.9701
39.0146,620.7983
2.077,9.5783
24.0773,116.1001
5.336,28.5106
12.178,22.2725
49.3345,1450.4412
7.2105,18.3993
24.9945,136.1643
30.946,247.0475
35.153,465.6449
28.0265,195.9274
0.5876,3.8511
16.3904,34.876
25.9338,148.6718
4.4845,26.6698
17.5963,62.3799
1.7568,8.3066
4.0211,15.793
19.9065,63.0349
6.7225,6.6765
28.4203,195.3881
34.5043,405.0834
40.0493,664.1086
10.0875,35.9804
8.4574,12.4837
5.3179,11.7121
31.8579,313.5852
35.3531,443.3262
1.6761,7.334
46.817,1219.0671
2.6934,13.2901
27.1107,199.1934
35.4821,406.4593
43.5614,911.3158
35.7329,489.27
40.1062,699.5774
17.0386,39.7543
40.7598,720.0183
4.0977,17.2353
44.7514,987.8204
27.4249,151.6275
40.8832,750.5727
22.6707,103.6715
32.2145,330.7912
26.3675,145.9043
36.6063,486.0958
4.1733,15.595
3.1116,8.7933
12.4305,31.4272
8.0613,18.2095
43.602,925.6566
11.0388,21.675
48.7957,1393.221
16.9111,43.5672
9.1877,35.7192
39.506,643.5842
32.9695,375.0365
24.96,98.2552
27.8126,192.8532
35.9882,433.2787
11.4999,14.8334
49.8171,1455.6738
48.7422,1345.0369
32.5513,313.0589
10.0572,39.7244
34.0434,364.2539
3.7027,6.8447
1.6296,10.79
12.9584,28.6481
23.1849,130.7515
43.4268,913.143
36.3857,436.9283
37.1611,514.456
21.3321,69.1657
17.3622,28.3619
18.6148,43.8992
49.3837,1434.0933
2.1014,10.2384
43.3649,875.4589
28.9759,224.2996
21.9869,105.695
36.2904,486.77
24.3848,133.4159
43.6838,938.001
45.045,1013.9652
21.1439,76.9175
13.9137,23.6405
29.6583,212.4607
45.6269,1086.949
10.612,29.4681
31.186,271.9245
31.6149,328.7907
36.6823,520.0989
6.6652,15.5663
35.8197,446.651
45.4607,1130.2029
9.0662,18.6039
11.9534,27.7536
48.5726,1368.6694
9.1307,8.1513
42.7338,821.6832
24.6647,134.3726
12.4368,15.665
43.5504,923.7151
22.3207,65.5237
25.7894,136.2265
18.0257,49.3738
29.6882,196.3237
8.2598,20.8428
19.615,60.0364
48.4737,1334.7276
12.9809,15.9555
32.8712,329.1341
16.327,33.2072
38.6963,648.6779
6.6306,18.2377
48.4941,1336.8268
22.7441,90.6157
11.8789,28.1521
3.7675,16.6991
8.5709,23.9939
26.0367,155.8995
16.9165,23.5855
41.4613,787.5141
21.6013,80.8298
12.5108,19.691
30.8955,270.9909
35.3682,435.9599
8.4354,20.4534
8.4642,21.8885
1.9299,3.2767
36.8465,513.5385
33.2238,362.4287
23.7841,110.7944
42.2241,809.8058
