Height_cm,Weight_kg,Gender
153.8,55.1,Female
185.6,96.2,Male
187.3,80.5,Male
174.6,70.7,Male
159.2,52.7,Female
166.3,69.8,Female
156.6,68.0,Female
174.1,85.1,Female
168.0,63.6,Female
175.9,85.3,Male
176.6,79.1,Male
173.9,77.3,Male
166.7,64.1,Female
185.0,86.1,Male
168.4,68.4,Female
161.5,70.3,Female
175.6,86.9,Female
161.0,65.3,Female
154.1,61.7,Female
168.6,71.0,Male
170.1,75.6,Male
179.8,75.3,Male
175.3,72.7,Female
167.1,67.3,Male
170.0,71.7,Male
178.5,72.7,Male
167.7,72.0,Male
171.3,71.8,Female
184.3,98.0,Male
161.8,79.6,Male
150.6,45.0,Female
175.4,85.0,Male
171.9,80.1,Male
163.1,67.2,Female
164.0,71.7,Female
164.8,81.6,Female
165.5,76.5,Female
160.2,68.0,Female
169.5,69.3,Female
176.0,67.0,Male
176.2,76.8,Male
184.9,89.2,Male
168.3,73.1,Male
164.9,71.9,Male
160.2,69.7,Female
158.1,51.8,Female
156.4,64.0,Female
177.2,85.7,Male
176.8,84.0,Male
158.7,61.5,Female
162.1,67.0,Female
184.8,95.0,Male
173.1,78.7,Female
189.6,106.1,Male
181.3,76.7,Male
184.1,90.1,Male
174.5,85.9,Male
160.2,56.5,Female
160.8,55.9,Female
176.4,80.4,Male
174.5,95.0,Male
165.7,82.3,Female
152.4,62.6,Female
171.6,78.6,Female
167.3,90.0,Male
175.0,74.9,Male
174.5,72.1,Male
156.6,58.0,Female
172.3,77.1,Male
161.2,68.4,Female
168.9,66.7,Female
183.6,89.1,Male
170.5,88.4,Male
178.3,97.5,Male
155.3,66.7,Female
157.8,55.3,Female
183.4,77.2,Male
168.5,71.0,Male
161.9,67.9,Female
165.2,70.8,Female
178.3,82.5,Male
183.2,84.4,Male
158.3,60.1,Female
165.0,83.0,Male
162.0,60.2,Female
163.9,59.0,Male
177.1,85.7,Male
191.7,93.2,Male
168.5,69.2,Male
163.7,69.7,Male
155.9,60.6,Female
166.3,69.4,Male
172.4,65.8,Male
168.3,74.5,Male
181.7,83.7,Male
169.5,66.6,Male
153.0,65.9,Female
162.2,64.7,Female
170.5,80.9,Male
148.2,50.2,Female
161.4,55.6,Male
174.7,84.4,Female
160.9,61.3,Female
157.4,50.0,Female
173.9,76.7,Male
166.5,77.7,Male
173.0,62.9,Male
157.9,70.7,Female
152.6,52.0,Female
160.1,70.8,Female
164.6,77.3,Female
159.6,60.5,Female
185.6,87.0,Male
174.6,68.3,Male
154.9,57.6,Female
171.2,70.2,Male
179.4,83.9,Male
171.5,80.5,Female
169.9,78.7,Male
164.2,72.0,Female
165.3,77.5,Female
155.6,52.1,Female
174.5,70.3,Male
164.1,66.7,Male
176.0,89.4,Male
170.3,91.4,Female
167.8,82.5,Male
175.5,83.4,Male
159.7,68.5,Female
157.7,64.9,Female
157.4,68.8,Female
178.8,88.4,Male
172.3,78.3,Male
168.6,60.8,Male
165.7,65.9,Female
161.8,75.1,Female
166.9,63.0,Male
157.7,56.7,Female
165.1,70.4,Female
164.0,63.6,Female
155.3,53.9,Female
169.7,73.2,Male
185.8,83.6,Male
167.7,67.7,Female
171.8,79.2,Male
155.0,57.8,Female
165.7,76.1,Female
152.7,63.7,Female
168.8,80.1,Female
165.8,70.1,Male
163.1,67.1,Female
178.5,83.0,Male
167.1,72.3,Male
180.3,92.7,Male
158.4,67.8,Female
172.4,73.6,Male
173.4,72.1,Male
173.7,86.0,Male
174.0,67.0,Male
164.8,60.3,Female
171.0,70.6,Male
176.5,86.8,Male
166.2,61.9,Male
173.4,82.5,Male
167.6,58.2,Female
184.2,100.3,Male
159.2,68.3,Female
168.8,81.0,Male
155.7,62.6,Female
163.6,61.1,Male
153.3,70.7,Female
155.2,57.6,Female
181.6,94.6,Male
170.0,73.8,Male
185.4,87.6,Male
182.7,80.3,Male
162.6,68.3,Male
170.4,67.8,Male
167.4,72.7,Male
178.1,83.5,Female
176.4,91.7,Male
173.7,87.1,Male
165.9,63.5,Female
173.6,75.8,Male
159.9,55.4,Female
166.9,71.8,Female
183.2,89.0,Male
178.6,74.0,Male
155.8,63.3,Female
171.1,69.9,Male
165.2,59.2,Female
164.5,68.8,Female
164.0,80.7,Male
180.2,78.1,Male
173.5,87.5,Male
160.2,52.7,Female
179.2,85.6,Male
175.9,84.3,Male
174.2,81.4,Female
155.1,66.6,Female
154.6,50.5,Female
176.2,87.0,Male
181.9,81.4,Male
177.5,78.5,Male
165.9,88.7,Male
179.9,89.1,Male
188.1,91.5,Male
167.9,80.4,Male
183.6,94.9,Male
180.0,84.2,Male
167.0,66.4,Female
180.1,82.3,Male
153.4,60.5,Female
158.1,60.0,Female
178.5,83.2,Male
183.3,91.4,Male
185.4,77.3,Male
182.4,99.1,Male
164.8,67.2,Female
167.4,72.1,Female
180.0,75.2,Male
183.9,90.3,Male
175.9,78.4,Female
183.3,105.0,Male
179.1,86.7,Male
166.1,72.7,Male
180.6,85.7,Male
171.1,77.4,Male
168.5,73.0,Female
161.2,61.7,Female
175.7,84.8,Male
159.2,56.7,Female
164.5,71.8,Female
168.7,71.0,Male
158.6,60.2,Female
147.5,45.8,Female
190.5,76.4,Male
173.9,80.4,Male
180.9,99.4,Male
181.7,85.3,Male
163.8,67.7,Female
172.1,73.6,Female
167.7,73.1,Female
177.4,83.1,Female
169.9,86.6,Male
165.5,65.9,Female
163.3,65.1,Female
176.3,78.9,Male
158.4,70.3,Female
181.0,79.8,Male
175.9,82.7,Male
163.8,70.8,Female
170.5,81.9,Female
163.6,59.3,Female
177.5,67.8,Male
164.5,69.1,Female
170.7,85.2,Female
166.7,63.8,Female
188.5,107.7,Male
179.7,79.3,Male
151.0,51.6,Female
179.1,87.6,Male
153.7,55.8,Female
182.6,93.5,Male
159.7,58.0,Female
180.4,78.9,Male
179.1,81.0,Male
184.4,84.4,Male
177.2,75.5,Male
156.2,55.0,Female
175.9,86.4,Male
177.5,98.0,Male
170.9,78.0,Male
178.0,87.0,Male
154.8,58.6,Female
180.5,86.0,Male
169.6,72.8,Male
170.6,69.4,Female
180.0,94.7,Male
151.1,56.8,Female
177.6,88.1,Male
179.4,83.4,Male
178.6,102.3,Male
179.1,72.0,Male
172.3,82.7,Male
177.5,79.0,Male
159.6,70.2,Female
177.3,72.9,Male
154.1,72.2,Female
168.8,82.3,Female
178.2,92.7,Male
191.9,102.1,Male
165.6,72.8,Female
161.1,61.6,Female
151.0,51.9,Female
187.0,94.2,Male
155.9,63.4,Female
167.0,63.6,Male
162.3,59.9,Male
156.9,59.6,Female
182.7,91.5,Male
179.5,82.6,Male
179.4,82.3,Male
162.7,73.0,Female
183.6,93.2,Male
164.1,65.6,Female
177.0,77.2,Male
168.8,73.6,Female
181.1,79.6,Male
164.8,70.4,Female
171.7,64.1,Female
166.7,57.7,Female
168.9,83.7,Male
165.3,72.1,Female
177.0,87.2,Male
184.6,82.5,Male
160.2,62.2,Female
158.6,62.9,Female
173.1,79.6,Male
172.5,77.9,Male
160.3,74.4,Female
166.2,80.4,Male
168.2,75.7,Female
172.8,75.3,Male
152.9,56.7,Female
174.0,76.2,Male
169.4,66.8,Male
158.7,54.3,Female
169.5,69.0,Male
184.3,103.6,Male
157.2,59.8,Female
185.2,75.4,Male
168.6,68.9,Male
157.6,62.3,Female
174.3,73.0,Male
161.3,64.1,Female
184.4,93.1,Male
163.3,65.0,Female
186.1,98.6,Male
157.1,71.6,Female
173.4,88.1,Female
175.3,83.4,Male
175.8,71.5,Male
169.7,63.7,Male
167.3,68.5,Female
168.1,70.8,Female
171.0,72.9,Male
182.3,97.6,Male
171.6,70.4,Male
168.1,69.3,Male
162.4,60.6,Female
169.4,75.7,Male
175.1,83.7,Male
157.3,74.0,Female
170.6,60.3,Male
164.7,75.0,Female
152.8,54.4,Female
184.9,81.4,Male
181.2,90.9,Male
174.9,63.6,Male
181.8,83.3,Male
182.8,94.0,Male
184.6,80.9,Male
171.7,68.1,Female
187.6,87.7,Male
158.3,66.3,Female
159.0,61.3,Female
162.3,67.0,Female
162.3,57.2,Female
170.1,74.4,Male
168.2,75.0,Female
163.0,62.5,Male
165.1,79.6,Male
150.9,62.8,Female
167.7,65.2,Female
158.3,73.5,Female
162.8,69.8,Female
173.3,66.6,Female
158.1,73.7,Female
164.4,79.9,Female
160.5,63.0,Female
176.0,93.5,Male
165.4,78.9,Female
175.3,76.1,Male
166.0,72.1,Male
151.4,68.3,Female
156.8,49.2,Female
185.9,105.4,Male
161.3,59.7,Female
163.6,67.7,Female
179.1,73.8,Male
168.2,78.9,Male
177.9,87.8,Male
175.1,91.3,Male
149.5,42.0,Female
152.1,60.7,Female
170.3,71.5,Male
160.5,73.8,Female
162.8,57.5,Female
167.7,79.4,Female
164.0,54.1,Female
154.6,59.3,Female
180.8,95.2,Male
167.8,76.4,Female
188.7,90.0,Male
176.9,84.8,Male
166.3,63.6,Female
181.0,92.1,Male
168.7,66.4,Male
164.2,77.9,Male
183.1,88.3,Male
163.1,75.2,Female
191.7,97.9,Male
177.8,107.9,Male
156.6,60.8,Female
164.6,61.4,Female
176.0,76.8,Male
172.3,64.4,Male
171.3,78.2,Male
160.8,65.0,Female
170.3,85.8,Male
165.0,66.8,Female
148.8,55.7,Female
181.5,91.2,Male
151.6,65.1,Female
168.7,78.7,Female
158.9,65.2,Female
162.9,78.0,Female
185.8,84.3,Male
167.2,61.3,Female
166.5,66.5,Female
162.8,74.7,Female
162.8,68.0,Female
189.3,91.7,Male
171.5,74.3,Male
179.8,82.2,Male
160.6,76.9,Female
176.8,78.4,Male
158.9,68.2,Female
169.5,70.7,Female
150.8,42.5,Female
176.7,89.1,Male
159.8,57.3,Female
162.5,60.8,Female
152.0,50.9,Female
171.5,77.7,Female
175.8,69.3,Male
171.5,73.1,Male
165.8,72.2,Male
166.1,68.6,Female
175.9,90.3,Male
168.8,73.5,Female
175.9,74.8,Male
148.9,57.7,Female
168.9,69.9,Male
155.2,72.7,Female
164.4,58.0,Female
168.3,83.9,Male
175.7,72.4,Male
157.9,67.7,Female
178.4,78.9,Male
186.1,93.0,Male
148.8,62.7,Female
168.6,74.3,Male
174.9,79.6,Male
173.0,73.1,Male
175.0,92.1,Male
151.7,57.7,Female
173.5,81.3,Male
179.5,82.8,Male
168.8,77.8,Male
155.2,60.6,Female
180.8,88.1,Male
167.2,62.8,Female
159.2,58.2,Female
155.1,64.6,Female
168.9,75.6,Male
185.6,91.3,Male
175.7,67.6,Male
166.2,67.5,Male
183.1,82.9,Male
159.1,60.1,Female
168.2,75.4,Male
173.9,72.8,Male
165.1,70.3,Female
156.0,71.2,Female
166.7,70.5,Female
181.7,76.8,Male
170.8,89.3,Male
161.9,62.8,Female
182.9,86.3,Male
177.7,78.3,Male
169.3,77.3,Male
170.5,74.1,Female
183.3,82.8,Male
153.2,70.9,Female
160.1,87.6,Male
169.0,73.7,Male
157.7,60.9,Female
155.1,70.8,Female
158.0,52.2,Female
177.5,73.5,Male
171.7,68.0,Male
177.0,89.3,Male
158.4,72.9,Female
175.7,96.2,Male
164.2,78.8,Male
164.3,69.7,Female
178.6,87.0,Male
178.5,85.5,Male
170.1,78.5,Male
166.2,79.6,Female
187.0,92.5,Male
180.6,85.5,Male
162.4,75.2,Female
162.8,65.6,Female
182.8,86.6,Male
179.7,78.9,Male
153.6,63.3,Female
177.6,79.2,Male
158.4,60.3,Female
185.3,76.3,Male
162.6,70.6,Female
162.9,73.2,Female
176.8,85.6,Male
182.3,86.0,Male
158.3,67.3,Female
160.1,64.0,Female
181.0,87.3,Male
177.5,81.4,Male
148.5,50.5,Female
176.3,72.7,Male
156.7,76.6,Female
181.6,95.0,Male
186.4,85.1,Male
176.3,66.4,Male
170.0,60.9,Male
157.5,64.5,Female
156.0,60.6,Female
179.0,87.8,Male
189.0,73.7,Male
155.4,63.6,Female
173.6,84.5,Male
159.7,74.0,Female
188.2,86.9,Male
164.6,62.3,Female
178.1,81.1,Male
163.7,61.4,Female
167.2,67.8,Male
176.1,90.0,Male
157.6,62.9,Female
183.0,101.7,Male
170.3,88.0,Male
176.2,68.7,Male
176.3,65.4,Male
174.0,88.7,Male
165.8,70.5,Female
163.7,69.8,Female
164.2,69.0,Male
165.1,74.7,Female
157.4,66.2,Female
178.9,81.2,Male
173.0,72.9,Male
161.0,65.8,Female
174.1,76.2,Male
178.4,69.4,Male
166.3,71.7,Female
183.2,87.7,Male
175.6,80.3,Male
170.7,77.3,Female
164.9,64.2,Female
167.8,87.9,Female
175.9,80.2,Male
164.2,76.0,Female
177.3,73.3,Male
157.9,50.2,Female
162.6,68.0,Female
171.7,89.4,Male
170.1,80.3,Male
167.1,60.8,Female
158.0,55.9,Female
182.9,91.5,Male
171.0,79.0,Female
161.6,65.0,Female
154.2,64.9,Female
161.2,61.2,Female
161.7,65.2,Female
171.6,79.0,Female
165.9,68.3,Male
165.9,74.3,Male
170.9,82.2,Male
188.1,92.4,Male
173.0,76.5,Male
162.8,69.7,Female
175.7,89.8,Male
157.2,53.8,Female
160.7,67.3,Female
187.2,98.0,Male
154.2,57.1,Female
146.9,44.3,Female
176.9,77.3,Male
156.1,62.3,Female
159.2,65.0,Female
152.3,41.0,Female
179.4,97.1,Male
161.4,64.9,Female
185.1,84.7,Male
181.6,91.6,Male
155.6,49.1,Female
177.6,80.9,Male
176.5,81.1,Male
178.8,87.4,Male
172.9,76.7,Male
182.4,85.4,Male
181.5,91.6,Male
166.8,71.4,Female
178.2,80.0,Male
156.9,60.8,Female
167.5,73.8,Male
174.6,85.7,Male
164.1,48.5,Female
152.5,65.7,Female
168.2,58.5,Male
180.2,99.8,Male
167.5,64.6,Female
156.5,59.9,Female
166.8,76.3,Male
156.0,62.2,Female
164.3,51.9,Female
170.8,78.4,Male
164.7,57.5,Female
171.3,76.4,Male
154.9,65.2,Female
163.7,70.0,Female
152.3,58.1,Female
159.4,61.2,Female
165.4,69.3,Female
160.4,59.7,Female
176.1,73.7,Male
173.4,73.8,Male
171.1,65.2,Male
158.8,67.5,Female
161.3,83.2,Female
153.5,50.6,Female
174.4,73.4,Female
176.9,81.1,Male
173.8,83.2,Male
170.2,78.7,Male
161.6,50.0,Female
179.3,95.3,Male
157.7,71.5,Female
159.5,57.7,Female
173.4,80.0,Female
168.0,79.9,Female
182.7,90.6,Male
179.8,99.0,Male
158.6,72.0,Female
153.4,61.1,Female
187.1,101.8,Male
158.9,53.6,Female
169.3,73.4,Female
174.4,74.6,Female
183.1,95.3,Male
163.3,61.4,Female
166.2,76.3,Male
161.3,72.2,Female
163.7,78.3,Female
164.2,69.7,Female
184.2,90.5,Male
157.2,66.5,Female
153.2,48.8,Female
169.4,73.3,Female
169.5,74.8,Male
157.8,64.6,Female
171.4,85.9,Female
181.2,92.6,Male
160.4,61.2,Female
156.3,43.3,Female
179.9,82.8,Male
165.0,66.0,Female
155.6,68.1,Female
185.3,86.5,Male
169.3,68.0,Female
167.9,66.4,Female
176.5,84.4,Male
158.8,67.3,Female
184.4,88.7,Male
166.8,69.6,Female
176.8,79.3,Male
169.8,83.2,Female
149.1,53.5,Female
182.6,85.6,Male
165.0,68.9,Female
156.0,52.8,Female
185.6,90.3,Male
176.0,74.9,Male
167.0,76.2,Female
172.1,65.3,Male
173.2,71.0,Male
172.1,73.8,Male
152.9,60.2,Female
177.9,79.3,Male
155.8,65.3,Female
182.5,90.2,Male
168.5,71.1,Female
165.2,64.1,Female
179.2,84.1,Male
165.9,53.2,Female
176.2,79.5,Male
155.0,51.7,Female
167.3,79.1,Female
179.5,80.4,Male
163.1,66.0,Female
168.3,82.6,Male
175.2,87.9,Male
167.5,69.7,Female
159.5,65.4,Female
172.3,76.4,Male
170.8,75.5,Male
176.1,80.8,Male
181.1,82.9,Male
174.1,76.0,Male
180.6,88.2,Male
179.2,78.3,Male
172.2,79.2,Male
159.1,61.8,Female
170.8,77.1,Female
154.8,66.7,Female
169.0,68.4,Female
179.6,94.6,Male
181.3,89.6,Male
150.8,52.7,Female
156.7,55.6,Female
157.7,60.7,Female
146.2,58.5,Female
166.2,79.3,Female
175.6,69.3,Male
183.1,85.2,Male
168.6,70.2,Female
177.4,81.4,Male
156.4,63.9,Female
176.0,76.3,Male
181.6,89.2,Male
185.2,83.5,Male
173.0,79.4,Male
168.4,69.0,Female
167.1,81.9,Female
164.6,67.5,Female
168.8,64.5,Female
170.2,78.9,Female
181.7,90.9,Male
158.2,64.7,Female
161.3,71.8,Female
169.6,80.0,Male
181.6,93.1,Male
153.8,53.2,Female
166.4,73.1,Female
168.8,79.5,Female
169.2,80.8,Female
172.2,74.6,Male
179.8,79.4,Male
155.8,49.0,Female
176.1,87.2,Male
167.8,63.1,Female
173.2,78.0,Male
179.6,105.1,Male
170.7,56.6,Female
179.9,78.3,Male
177.9,92.6,Male
165.3,51.8,Female
157.8,62.3,Female
159.5,75.8,Male
161.3,54.9,Female
177.4,80.8,Male
179.6,81.8,Male
164.2,56.7,Female
172.4,76.1,Male
162.0,68.6,Female
165.0,68.7,Female
160.1,68.1,Female
170.7,78.4,Female
152.5,57.9,Female
163.3,76.0,Male
177.6,73.7,Male
168.7,73.1,Female
163.4,65.5,Female
169.8,80.9,Female
167.6,67.8,Female
164.8,54.1,Female
152.5,43.4,Female
166.5,73.6,Male
177.7,79.3,Male
156.9,64.7,Female
163.3,69.0,Female
171.4,72.0,Male
153.7,55.2,Female
164.3,65.8,Female
182.3,88.8,Male
165.2,74.7,Female
179.6,88.3,Male
183.7,81.7,Male
170.1,74.8,Female
154.2,65.3,Female
147.8,62.0,Female
160.3,68.3,Female
166.5,58.1,Male
166.7,70.6,Female
177.7,69.8,Male
187.7,91.7,Male
